$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.481,3.446,4.873,2.786,8.094,1.127,3.334,3.219,1.201,100.358,1.34,4.224,2.815,2.111,2.815,5.075,3.225,3.32,2.619,1.609,5.587,3,4.95,3.026,2.854,3.878,2,461.207,24.663,2534.959,2.145
3.571,1.594,4.936,3.236,7.682,2.008,4.323,4.282,1.821,131.103,1.745,3.612,4.295,2.888,2.933,4.622,4.901,4.878,2.211,1.463,2.76,3,4.387,3.142,3.163,3.759,2,333.284,21.336,1309.337,0.804
2.554,4.846,4.621,2.831,3.004,1.471,3.577,3.494,1.587,88.16,3.078,4.121,2.144,3.398,2.993,4.421,4.24,4.005,2.67,1.465,4.719,3,4.851,3.011,2.342,3.763,2,328.796,22.05,1356.14,2.145
2.724,2.485,4.99,3.15,7.853,1.972,3.114,3.992,1.234,68.569,1.565,3.004,3.283,3.409,2.674,5.837,2.279,3.574,1.424,1.117,4.788,3,3.676,3.212,3.652,3.263,2,249.03,20.277,2106.816,2.413
4.397,5.259,3.953,2.979,8.691,3.903,4.514,2.442,1.64,100.48,1.774,3.34,3.357,2.766,2.428,5.306,4.448,4.966,2.831,1.97,5.354,3,5.973,3.077,4.383,3.952,2,515.679,24.612,1624.12,0.268
2.21,2.272,4.714,2.87,5.549,1.756,4.627,3.276,4.639,108.534,1.587,4.069,2.993,3.768,2.652,4.597,4.263,3.125,1.621,1.642,5.897,3,4.963,3.036,1.821,3.86,2,315.365,21.086,2275.12,3.753
2.744,2.412,4.553,3.607,9.668,2.291,3.572,5.626,1.688,167.681,2.417,4.865,3.753,3.438,2.967,5.07,3.378,4.224,2.266,2.299,3.158,3,5.155,3.481,2.095,3.818,2,306.368,21.386,1598.777,1.072
2.451,1.044,3.991,4.728,9.649,1.401,4.916,1.892,1.846,60.51,2.149,3.235,2.38,3.851,2.336,1.696,4.474,3.19,1.831,2.316,5.35,3,2.676,3.043,4.291,3.917,2,198.215,18.483,1196.975,1.072
2.813,4.874,4.858,3.024,9.812,2.298,1.967,1.819,2.136,59.876,2.516,4.954,4.055,2.806,2.74,3.443,2.734,4.377,2.889,1.481,2.993,3,2.617,3.029,1.706,3.692,2,213.977,19.449,2452.635,1.34
4.557,1.361,4.811,4.329,6.106,2.889,2.584,1.704,1.877,18.063,1.14,4.986,1.077,3.497,2.753,4.924,4.337,2.844,1.626,1.129,5.192,3,3.654,3.416,2.993,3.527,2,82.126,14.277,993.24,2.145
2.132,2.181,4.742,3.905,8.039,1.982,1.931,4.868,1.888,36.483,1.646,3.078,1.961,1.623,2.869,5.72,3.975,2.076,1.094,1.33,3.356,3,2.655,3.059,2.457,3.385,2,118.92,16.144,1233.232,2.413
2.559,2.815,4.549,2.462,4.873,1.156,3.63,4.624,3.171,35.994,3.096,3.822,1.526,3.254,2.7,5.55,4.885,2.368,1.475,1.054,5.36,3,2.729,3.07,3.858,3.619,2,103.11,14.925,497.924,2.145
3.083,4.77,4.936,2.002,6.448,1.335,4.598,1.905,3.135,202.146,3.486,4.531,3.676,3.72,2.964,5.979,4.244,2.336,1.048,2.349,5.592,3,1.035,3.173,4.711,3.898,2,485.051,23.357,1701.846,3.217
3.589,3.489,3.656,2.343,6.387,1.698,4.889,4.077,1.019,173.211,2.009,4.589,4.729,2.501,2.437,5.996,3.037,4.287,2.902,1.209,3.952,3,2.387,3.205,1.679,3.215,2,999.446,32.278,3912.522,1.877
3.871,1.055,4.371,3.966,6.423,1.434,1.059,3.296,1.589,108.176,3.159,3.894,4.049,3.515,2.824,5.119,4.697,4.861,1.063,1.299,5.865,3,3.679,3.851,2.401,3.404,2,227.658,19.432,3889.429,2.145
