Pom: Final Table

|Iteration|All Data     |Incremental Data   |
|--------:|------------:|------------------:|
|        1|        20.31|              21.10|
|        2|        20.17|              20.93| 
|        3|        20.71|              21.01| 
|        4|        20.90|              21.40| 
|        5|        20.12|              21.24| 
|        6|        20.37|              21.33| 
|        7|        20.43|              21.20| 
|        8|        20.12|              20.11| 
|        9|        20.37|              21.09|
|       10|        20.47|              20.93|
|       11|        20.25|              21.30|
|       12|        20.53|              20.37| 
|       21|        20.24|              21.41| 
|       14|        20.13|              20.19| 
|       15|        20.15|              21.32| 
|       16|        20.31|              21.10| 
|       17|        20.47|              21.74| 
|       18|        20.49|              20.31| 
|       19|        20.47|              20.31|
|       20|        20.40|              20.91|
|---------|-------------|-------------------|

Baseline: 20.705283
