$Data,$aa,$acap,$aexp,$b,$cplx,$docu,$etat,$flex,$kloc,$ltex,$pcap,$pcon,$plex,$pmat,$pr,$prec,$pvol,$rely,$resl,$ruse,$sced,$site,$stor,$team,$time,$tool,<effort,<months,<defects,<risks
2.808,2.841,3.423,4.996,9.412,3.497,3.245,5.11,4.529,356.863,2.65,3.475,2.744,1.854,2.578,5.729,1.351,3.598,1.211,3.218,2.418,3,1.118,3.596,4.388,3.296,2,769.607,27.438,8767.546,1.072
3.279,2.374,4.953,2.99,9.531,3.814,4.951,2.044,3.424,88.246,3.575,4.673,1.018,3.33,2.151,3.948,2.901,2.977,1.285,2.598,3.397,3,5.403,3.527,3.526,3.53,2,222.443,19.163,2050.521,2.145
2.84,1.046,4.202,3.552,8.111,2.267,3.257,5.007,4.14,94.181,3.135,3.973,2.99,2.702,2.978,4.568,4.597,3.101,3.388,1.394,4.558,3,1.962,3.654,2.744,3.778,2,468.98,23.694,2116.533,0.268
2.928,5.619,3.253,2.646,5.739,3.21,3.154,3.079,4.547,178.829,2.652,4.558,2.69,1.765,2.418,4.258,4.08,4.809,1.036,1.86,4.377,3,5.05,3.539,3.697,3.212,2,730.031,26.937,5452.848,1.609
3.589,3.489,3.656,2.343,6.387,1.698,4.889,4.077,1.019,173.211,2.009,4.589,4.729,2.501,2.437,5.996,3.037,4.287,2.902,1.209,3.952,3,2.387,3.205,1.679,3.215,2,999.446,32.278,3912.522,1.877
2.736,3.764,4.559,2.252,9.875,3.271,3.709,5.853,2.062,271.336,3.97,4.221,4.426,2.634,2.354,4.679,3.564,3.843,3.571,4.7,5.47,3,4.645,3.335,3.177,3.518,2,602.608,25.864,2349.784,0
3.568,1.528,3.318,3.67,9.453,2.424,2.878,4.803,2.492,175.266,3.455,3.865,3.948,1.526,2.307,3.726,3.583,3.892,1.223,3.281,4.448,3,1.467,3.833,4.935,3.835,2,636.556,25.827,4489.121,1.072
2.349,3.889,4.215,2.16,7.526,1.255,4.739,4.8,2.408,183.746,2.355,4.218,4.339,2.537,2.621,4.668,2.295,2.43,2.891,3.467,4.68,3,1.296,3.602,3.385,3.053,2,1029.793,30.967,1929.836,2.145
2.611,1.4,4.397,3.429,8.377,1.953,3.443,4.324,4.043,185.379,3.804,3.432,3.331,3.214,2.334,4.021,4.421,3.729,2.514,3.888,5.344,3,2.63,3.171,2.573,3.148,2,595.196,24.863,3128.782,1.072
2.114,4.435,4.34,3.973,3.397,3.844,2.864,1.581,3.749,222.006,1.616,4.592,3.444,1.314,2.99,1.384,2.656,4.328,1.648,4.196,3.932,3,2.517,3.662,1.046,3.172,2,584.946,25.448,15882.479,2.413
3.46,3.574,4.401,3.553,3.929,2.511,1.412,3.585,1.186,125.444,2.582,3.011,2.402,2.088,2.997,3.535,1.795,4.461,3.456,1.084,4.242,3,5.975,3.325,3.167,3.712,2,635.693,27.348,5541.887,0
2.156,2.17,3.602,2.59,7.754,2.622,4.303,1.066,3.565,272.709,1.771,4.191,3.622,2.705,2.28,5.704,4.027,3.604,2.235,2.067,2.079,3,2.095,3.29,2.601,3.684,2,1213.68,31.658,9189.55,0.536
3.109,5.869,3.588,2.355,6.014,3.422,4.258,4.013,3.396,210.99,2.594,4.324,1.371,1.744,2.441,5.658,3.115,4.671,1.851,2.93,5.691,3,3.348,3.042,3.847,3.912,2,1269.967,32.553,8944.283,1.609
3.993,3.076,4.224,2.164,5.643,1.604,4.511,3.037,3.561,39.412,3.22,4.706,4.081,3.375,2.625,5.683,1.402,3.398,1.396,1.212,2.266,3,2.756,3.869,1.992,3.11,2,114.013,15.956,1099.741,4.021
2.742,3.617,3.058,2.161,8.724,1.176,4.365,1.255,4.72,20.19,2.182,4.645,3.955,3.67,2.612,2.545,3.43,2.759,1.577,3.447,3.548,3,4.04,3.083,4.433,3.496,2,65.42,12.845,246.916,2.145
3.338,1.63,3.53,2.84,3.125,1.885,4.424,1.356,2.192,375.948,3.806,3.723,3.062,2.699,2.642,4.24,2.511,4.546,1.394,2.479,3.61,3,1.615,3.318,1.263,3.699,2,1870.052,38.607,37142.935,2.145
3.162,4.191,4.708,3.55,4.758,3.415,4.322,1.437,4.391,39.121,1.931,4.641,1.958,3.283,2.831,5.497,2.526,2.565,2.196,1.297,3.476,3,1.859,3.93,3.82,3.72,2,263.795,20.33,1500.349,1.072
