Xomo: Final Table

|Iteration|All Data     |Incremental Data   |
|--------:|------------:|------------------:|
|        1|        12.85|              13.60|
|        2|        12.67|              12.98| 
|        3|        12.75|              13.01| 
|        4|        12.90|              13.40| 
|        5|        12.62|              13.24| 
|        6|        12.87|              13.33| 
|        7|        12.43|              13.20| 
|        8|        12.62|              12.66| 
|        9|        12.37|              13.09|
|       10|        12.47|              12.98|
|       11|        12.25|              13.30|
|       12|        12.58|              12.87| 
|       13|        12.24|              13.41| 
|       14|        12.68|              12.69| 
|       15|        12.65|              13.32| 
|       16|        12.81|              13.10| 
|       17|        12.47|              13.74| 
|       18|        12.49|              12.81| 
|       19|        12.47|              12.81|
|       20|        12.40|              12.96|
|---------|-------------|-------------------|

Baseline: 12.679500000000003
